comment,polarity
ডিরেক্টরের চেষ্টার কমতি আছে  আরো ভালো হতে পারতো গল্পটা  বেস্ট ফ্রেন্ড কি তার ফেসবুক আইডিতে নাই? বিয়ের ছবিও দেখে নাই? পুরা বাসায় বিয়ের ছবি নাই?! এতদিন প্রেম করেছে ফেসবুক আইডি জানেনা  ওয়াও! আবার হাসব্যান্ড এর আইডিতে ওয়াইফ নাই?! ওয়াও! এছাড়াও আরো অনেক ফাঁক ফোঁকর রয়ে গেছে  হ্যা সবই বাস্তবসম্মত হবে সিনেমা নাটকে তা এক্সপেক্ট করিনা  তবে স্থুল ভুলগুলো শোধরানো উচিত ছিলো ,Negative
এইখানে কি  ত্রিরানবিতরণ কর্মসূচি চলতাসে ভালো সিলো. ..,Positive
আমার দেখা এই ঈদের সবচেয়ে  সুন্দর  নাটক,Positive
এক কথায় অসাধারন,Positive
আফরান নিশুকে টুপি দিয়ে খুবই ভালো লাগছে   ,Positive
ভালো হয়েছে নাটকটি ,Positive
আজ কাল Ttiktok এ পোলা-পাইনে অনেক ভাল অভিনয় করে..... ! কাচ্চি-খোর একদম ফালতু....,Negative
বাল নাটক,Negative
এত থার্ডক্লাস নাটক কিভাবে বানায় ,Negative
যদি বেয়াদব হতে চাও   তবে আমার দেখা এই প্রিয় নাটকটি দেখে শিখুন   খুব দারুণ নাটক    ,Positive
ভালবাসা অবিরাম  তানজিন তিসা,Positive
কি বালের কাহিনি বুঝলাম না???????,Negative
সাউন্ড এর কারনে মজার নাটকটার বারোটা বেজে গেছে  মাঝে মধ্যে শোনা যায়না  মাঝে মধ্যে কান ফেটে যায়,Negative
এক কথায় অসাধারণ আরিয়ান ভাইয়ের    নাটক মানেই অন্য রকম কিছু,Positive
এই রকম নাটক আরো দেখতে চাই আমাদের অসুস্থ সমাজ কে সুস্থ এবং সুন্দর ধারায় ফিরে আনতে অনেক প্রয়োজন       ,Positive
মোশারফ করিমের মত একজন আর্টিস্টের এই জাতীয় নোংরামির ঠাট্টা মশকরা যুক্ত ধিক্কার জনক অরুচিকর নাটকের থেকে নিজেকে বিরত রাখা উচিত ,Negative
ভাল লাগলো ,Positive
অসাধারণ নাটকটি,Positive
বাংলা নাটক সবচেয়ে সেরা নাটক  অন্য কোন দেশে এমন সুন্দরনাটক তৈরী করতে পারে না কে কে একমত??? লাইক ও কমেন্ট করে জানিয়ে দেও,Positive
বিরি বিরি নাইছ খুব ভালো লাকছে বিরি নাইছ নিশো ভাই,Positive
শেষের অংশ টা ভালো হয় নাই,Negative
অপেক্ষায় ছিলাম   নাটক টি অনেক সুন্দর হইছে,Positive
অসাধরন তাছনিন তিশার অভিনয় ভালো লাগছে ,Positive
এবছরের ফালতু নাটক এটা   ফাজলামীরএকটা যায়গা আছে এটা কিছু হলো!অফিসের স্যারেরসাথে এরকম ব্যাবহার অভিনয় একেবারে ফালতু নায়িকার,Negative
এক কথায় অসাধারণ এক নাটক  প্রথম অংশ এতটায় মুগ্ধ করেছে বলার মত না ,Positive
Overall good but..... ১০ বছরে ছেলে কলেজে.....seriously!!!,Positive
অসাধারন একটি নাটক ,Positive
আরিফিন ভাইএর নাটক গুলা সত্যিই খুব চমৎকার ,Positive
খুবিই উপভোগ্য একটি নাটক পুরো নাটকে গ্রামের আবেশ ছিল খুশি আপা সেই ধন্যবাদ ,Positive
খুব খুব সুনদোর ভিডিও  নাইস,Positive
জাস্ট অস্থির হইছে নাটকটা  খুব ভালো লেগেছে ,Positive
সুন্দর করে কথা বুঝিয়ে বলা একটি নিয়মের মধ্যে চলাফেরা করা নিয়ম মেনে পরিশ্রম করা আর পাশে একজন ভাল দিক নির্দেশক পাওয়া আর নিজে থেকে চেষ্টা অনেক কিছুই বদলে দিতে পারে!!কাজ কিংবা মানুষ সবকিছুকে সম্মান দেওয়া উচিৎ  আর সে সম্মানবোধ অনেক সময় প্রকাশ না করলেও অনেকের প্রতি একটা সম্মান শ্রদ্ধা চলে আসে  আর সেটাই তো সুন্দর সেটাই তো জীবন,Positive
সত্যি অসাধারণ বললেও ভুল হবে!শেষ দৃশ্য দেখে চোখে জল এসে গেছে!,Positive
যে নির্মাতা নাটকে অশ্রাব্য গালি-গালাজ ব্যবহার করেন  তিনি নিঃসন্দেহে বিকারগ্রস্ত  দিন দিন বাংলা নাটক তার পুরাতন ঐতিহ্য হারাচ্ছে   দুঃখজনক  ,Negative
Honestly  love it ome ভাই   নাটকে ভালো একটা মেসেজ ছিলো  Best wishes brother দোয়া ও ভালবাসা,Positive
অপুর্ব ভাইয়ার বলা favorite movie ফরেস্ট গাম্প মুভির রিমেক বলিউডের মিঃপার্ফেক্টশ্ নিস্ট আমির খান করছে  ক্রিসমাসে রিলিজ হবে ,Positive
পরিচালকের প্রতি অনেক অনেক ভালো বাসা  ইসলামি মাইন্ড সেটাপ তুলে ধরার জন্য ,Positive
এই জগতে এরকম সমাজকে ঠিক করতে গেলে মানুষ বেয়াদবের পদ পায় লজ্জা লাগে এরকম একটা দূর্নীতিপূর্ন দেশে আছি এই দূর্নীতির কারনেই বাংলাদেশ কখনো সোনার বাংলা হবে না যোগ্য নেতার অভাব যখন পূরন হবে তখন দেশের অবস্থা ঠিক হবে এরকম একটা উৎসাহ দেওয়ার মতো নাটক করার জন্য নিশো ভাই কে কৃতজ্ঞতা জানাই Love you vai,Positive
নাইকাটা ভালো ছিলো না ,Negative
অসাধারণ অভিনয় অসাধারণ,Positive
এটা ভাঁড়ামি ছাড়া আর কিছুই না  ,Negative
অসাধারণ ,Positive
চরম পর্যায়ের ফালতু,Negative
মাবরুর রশিদ বান্নাহ ভাইয়ের কাজ গুলো সত্যি অসাধারন৷ভেতরটা পুরাই নাড়া দিয়ে উঠল৷ ইরফান সাজ্জাদ ও তানজিন তিশা হ্যাটস অব ইউ!,Positive
বিষয়টা বাস্তবিকতার দিক থেকে মিথিলার জীবন এর সাথেও মিলে যায় নাটকটি সুন্দর  দৃশ্য গুলো অনেক ভাল লেগেছে  তবে মিথিলার সাথে মিলিয়ে দিলে ভালবাসা জিতে যেত যদিও মিথিলা তার ভালবাসা জিতিয়ে দিয়েই চলে গেছে তবে ছোট এই দেশে আভার যখন পথের মাঝে দেখা মিলে যাবে?,Positive
উপদেশ মুলক নাটক আর ভালবাসা কখনোই লুকাতে হয় না  যাকে ভালবাসেন তাকে বলে দেয়াই ভালো সে না হয় না-ই বা মানলো ,Positive
বস অসাধারণ,Positive
অনেক সুন্দর,Positive
বালো লাগা এবং ভালোবাসার নাটক মানেই অপুর্বর নাটক,Positive
এইরকম ফালতু নাটক ক্যামনে লেখে পরিচালকে!,Negative
ফিনিশিং টা ভালো লাগলো না ,Negative
আনেক ভালো লাগছে,Positive
প্রিয় অভিনেতা Afran Nisho | ও প্রিয় অভিনেত্রী  Tanjin Tisha এর নাটক মানে এক কথায় অসাধারণ,Positive
লাস্ট সিন সেই হইছে,Negative
বস্তাপচা নাটক ,Negative
আমার দেখা নাটক এর মদ্ধে  সেরা নাটক   অনেক ভালো লাগলো ,Positive
অনেক সুন্দর,Positive
অবাস্তব আর ফালতু কাহিনী  এরা এই অফিসে নিয়োগটাই পাইছে কেমনে? যতসব আবাল পরিচালক কোথাকার,Negative
শামীম ভাইয়ের অভিনয় টা অনেক ভাল লাগল,Positive
অসাধারন একটা নাটক ইউনিটের সবাইকে অনেক ধন্যবাদ  আর নিশো ভাই আর তিশা তো খুবই চমৎকার অভিনয় করছে   ,Positive
ওয়াও এক কথায় অসাধারণ নাটক! ভাষায় প্রকাশ করা যাবে না! নিশো ভাইয়া কি সব সময় রেকর্ড করা যাবে! ধন্যবাদ মিজানুর রহমান আরিয়ান ভাইয়া কে এ ধরনের গল্পতে নিশো ভাইয়াকে নেওয়ার জন্য???,Positive
নাটক টা ...  কি যে বলব কিছুই বুঝতেছিনা  এক কথায় অসাধারন  আরফান নিশো একজন রিয়েল হিরো  সেই সাথে গানটি অন্য একটা মাত্রা জোগ করে দিয়েছে  গানটি কারো কাছে থাকলে প্লিজ শেয়ার করবেন Love You #Boss.,Positive
আমার দেখা জিবনের সেরা নাটক,Positive
আসলে পোশাক টা ভালো ছিলো নাহ,Negative
জস একটা নাটক!! আসলে apurbaভাই একটা জিনিশ! আমি কিন্তু কমেন্ট দেখে নাটক দেখি না!! আমি নাটক এর অনেক বড়ো ভক্ত! apurba  nisso  jovan  towsif  & guru mosharrof korim.... ader natok hola comment pora lage na..,Positive
একটা নাটক এতো ভাল হয় কিভাবে যতোবার এই নাটকটা দেখি ততোবারি দেখতে মন চায়,Positive
নিশু ভাই এবং মেহজাবিন আপু!কেমনে পারলেন আমাকে কাঁদাতে?নিশু ভাই/মেহজাবিন আপু!আপনাদের কাছে একটাই রিকুয়েস্ট কখনো আপনাদের উপর যেন খারাফ ধারনা না আসে  এগিয়ে যান আর আমি কাঁদতেই থাকি,Positive
ফালতু নাটক সময় নস্ট  সবাই আনলাইক দেন,Negative
ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে  এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে  ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর করিম ভাই এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না  এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাই  ,Negative
আ খ ম হাসান মানেই সেরা অভিনয় ,Positive
তোমাকে বলছি ভালোবাসার মানুষটা কে না পাওয়ার কষ্টে আত্যহত্যা করো না  কারন সে মানুষটা ঠিকই নতুন করে জীবন ঘরবে  কিন্তু তোমার মা বাবা তোমার মতো একজন সন্তান ভাবে না? ,Positive
নিঃসন্দেহে শামীম হাসান সরকার সেরা,Positive
মোশাররফ করিমের মত অভিনেতার কাছ এই রকম আবাল মার্কা নাটক আশা করি নাই,Negative
হৃদয় ছুয়ে গেলো আরফান ভাইয়ার নামাজের প্রতি সুন্দর পরামর্শ দেওয়াটা -!!ভালোবাসা রইলো ভাইজান-!!,Positive
আজাইরা নাটক কমেন্ট পড়েই দেখার ইচ্ছা মরে গেছে,Negative
অনেক অনেক ধন্যবাদ মিজানুর রহমান আরিয়ানকে এত সুন্দর নাটক উপহার দেওয়ার জন্ন,Positive
খুসি আপু অসাধারন অভিনেত্রী,Positive
অনেক সুন্দর লাগলো  ,Positive
অপূর্ব ভাইয়া মিথিলা আপু এবং মেহজাবীন আপু সুপার যা ভাষায় বলা যাবে না আর মিউজিক আর সুর অছম ,Positive
অভার এক্টিং লাগছে,Negative
ইভানার অভিনয় আমার কাছে অনেক ভালো লাগে অনেক সুইট একটা মেয়ে,Positive
এইটা তো কোন সমস্যা না আপনি একজন ক্রেজি লাভার  প্রেম প্রেম  করতে করতে ওর ভিতরে ডুকে গেছেন.............Perfect ........thanks Nisho Vai for such a beautiful Dramatic feeling...........,Positive
অসাধারন            ,Positive
সত্যি খুব ভালো লাকছে এগিয়ে যাছে বাংলা নাটক     এমন করে এগিয়ে যাক     আছি সব সময়,Positive
অনেক সুন্দর অপূর্বর নাটক মেহেরজাবীন ও মিথিলা ধন্যবাদ,Positive
অসাধারন একটা নাটক মাত্র ৫৩ মিনিটের নাটকে একটি পুরো জীবনকে ফুটিয়ে তোলা হইছে সত্তিই অসাধারন,Positive
Tanjin Tisha নাটক আমার কাছে ভাল লাগে,Positive
প্রথম দিকে ভালোই হইলো but finishing ভালো হয় নাই,Negative
কিছু ভালোবাসার কথা কখনো কাউকে বলা হয় না না বলাই থেকে যায়,Positive
নিশো ভাই আপনি বস 🙏🙏আর আরিয়ান ভাই আপনার নাটক সবসময় ই সেরা এবং আরেকটি মাইলফলক,Positive
ট্রেইলার দেখে ভেবেছিলাম প্রিয় এই জুটির অসাধারণ একটি হাসির নাটক উপহার পাচ্ছি কিন্তু নাটকের শেষে এমন টুইস্ট কখনো ভাবিনি জাস্ট অসাধারণ,Positive
সিনেমার যেই অবস্থা হইসে  এখন নাটকেরো ওইটাই হচ্ছে ,Negative
এক কথায় চমত্কার অপূর্ব এর নাটক,Positive
বাংলা নাটকের এক মহা  সিন  নায়ক  নাইকা ভাববে আর গান চলবে পিছনে  - এই সিন টা সব নাটক এ ই থাকতে হবে ,Positive
ুশী দিদি আপনি অসাধারন ,Positive
Apurbo  ভালো অভিনেতা but আফরান নিসোর মতো সব ধরনের অভিনয় করতে পারেনা,Negative
খুব ভাল লাগলো,Positive
মিজানুর রহমান আরিয়ান ভাই মানে ১০০% হিট   আরিয়ান ভাইয়ের নাটক দেখা মাত্রই কোনোভাবে নিজের লোভ সামলে রাখা সম্ভব হয় না   কি জানি ভাই আপনার নাটকে কি জাদু আছে   আমি আপনার নাটকে অনেক বাস্তবতা খুজে পেয়েছি   প্রায় সব নাটকে বাস্তবতার মিল খুজে পাওয়া যায়   আপনাকে অসংখ্য ধন্যবাদ আমাদেরকে এতো সুন্দর নাটক উপহার দেওয়ার জন্য ,Positive
সুন্দর গল্প সুন্দর ডিরেকশন   কিন্তু কাবির সিং থেকে অনেকটা ইন্সপায়ার্ড ,Positive
অসাধারণ ছিল নাটক টা   নামাজের জন্য মন টা আরো বেশি বেশি কাদছে   অসাধারণ ম্যাসেজ     আর প্রিয় পরিচালক প্লাস প্রিয় জুটি   সাথে কা     মাল (পলাশ )  ,Positive
আসলে সমাজের ভালো মানুষ গুলোইবেয়াদব হিসেবে  আত্মপ্রকাশ পায়ভালো কিছু করলে বা সঠিক কথা বললে   সবাই বেয়াদব বলেধন্যবাদ তোমাকে নিশু ভাই,Positive
অসাধারণ  জীবন ঘনিষ্ঠ চিত্রায়ন,Positive
বাস্তব সাথে পুরো টাই মিল আছে   অনেক সুন্দর সামাজিক নাটক,Positive
বালের নাটক সব নাটক এ এক কাহিনি,Negative
মোশাররফ করিম সাহেব  আপনার মতো একজন অভিনেতার গল্প এবং চরিত্র বেছে বেছে কাজ করা উচিত. এটা ফালতু একটা গল্প ,Negative
আমার দেখা সবথেকে বাজে নাটক,Negative
অসাধারন একটা নাটক ,Positive
বাজে অশ্লীল একটা নাটক ছি ছি ছি,Negative
অনেক অনেক সুন্দর,Positive
শেষ টুকু খুব ভালো লাগছে,Positive
ভাল লাগলো অনেক,Positive
অবশ্যই ' নাটক টা অনেক সুন্দর হয়ছে ' কিন্তু একটা ভুল ' অাচে সেইটা হলো ১০ বছর বয়সে ছেলে কি কলেজে পড়তে পারে?,Positive
বাজে হইছে....,Negative
অনেক পরিবারে এমন ঘটনা ঘরতে দেখেছি খুব ভালো লাগছে  ধন্যবাদ পরিচালক  সহ সবাই কে ,Positive
নাটক টা খুবই ভাল লাগছে মেয়েটা যেমন চেয়েছে তার জিবনে এমন একজন আসুক সব ছেলেরা ও চায় তার জিবনে এমন কেউ আসুক যে তার অগুছালু জিবন টা গুছিয়ে তুলবে      কিন্তু এই অভিনয়ে দুধ গুলা দেখায়া মেয়েটা সব শেষ করে দিল আরে বাবা এত সুন্দর অভিনয় করছো দুধ উরনা দিয়ে ডেকে রাখলে কি হত,Positive
শারমীন সাথীর মুখে  বুড়ো দিয়ে পোষায়না  এটা কোনো নাটকের ভাষা হলো  তাহলে আমরা কি ধীরে ধীরে আমেরিকার মতো সেক্সফ্রি কালচারের দিকে চলে যাচ্ছি যা আমরা চাইনা কোনো ভাবেই,Negative
অসাধারণ নাটক সত্যিই অসাধারণ,Positive
অনেকদিন পর একটা ভালো রোমান্টিক নাটক দেখলাম  খুব সুন্দর  ন্যাকামি মার্কা অভিনয় এবং কাহিনি না অন্তত ,Positive
নাটকটা অনেক সুন্দর  রিসোর্ট টার নাম কি কেউ বলবেন ,Positive
ফালতো একটা,Negative
গল্পের প্রথম দিকটা খুবই সুন্দর ছিল আর মাঝখানে কিছু এলোমেলো আর শেষটা খুবই সুন্দর হল,Positive
খুব সুন্দর একটি নাটক,Positive
খুব সুন্দর,Positive
এটা তো কোন সমস্যাই না আপনি একজন Crazy লাভার প্রেম করতে করতে ওর ভিতরে ঢুইকা গেছেনjust awesome chilo boss afran nisho and Trisha so hot juttiBangladesh e ami only nishor bokto much love boss,Positive
অনেক ফালতু নাটক দেখেছি  কিন্তু এই নাটকের মতো এতো ফালতু নাটক দেখে নাই  এই নাটক টা ফালতু বললেও কম হবে ,Negative
অসাধারণ  কাহিনি  গান  সব মিলিয়ে অতুলনীয়,Positive
অসাধারণ ভালো লেগেছে অনেক ধন্যবাদ সবাইকে,Positive
ভাই অস্থির হয়েছে নাটকটা,Negative
অস্ট্রেলিয়ার গরুর মত লাগছে ফারিয়াকে,Negative
ফালতু নাটক আর ফালতু চিত্রনাট্য আর ফালতু পরিচালনা   আর ভণ্ডামিতে ভরা  ,Negative
খুব সুন্দর,Positive
অনেক ভালো হয়েছে,Positive
ওসাদারন নাটক,Positive
ভালো থাকুক  ভালবাসার মানুষ গুলো   😥😥😥😥😫😪,Positive
নাটকা অসাধারণ  মেয়েটার ব্যবহারটাও ভালো কিন্তু মেয়েটার ওড়নাটা পড়া ভালো হয় নি  হলে আরও ভালো লাগতো ,Positive
অসাধারণ একটা নাটক  প্রত্যেকটা মুহূর্ত আনন্দময় ছিল ,Positive
ভাল লাগলো না আর কিছু ল্যাংগুয়েজ কিছু ভংগিমা  ইউজ না করলেই ভাল হত ,Negative
এখন বাংলাদেশের নাটকের মধ্যে এমন কাহিনি ডুকাইয়া বিভ্রান্তিকর করতেছে   মা বাবা কে নিয়ে এক সাথে নাটক দেখতে ভয় করে,Negative
আমার মনে হয় নাটকের ডিরেক্টর এবং রাইটার দুইজনে হিজড়া,Negative
মোশাররফ করিমের এসব ফালতু নাটক করার মানে কি? কাজের অভাব তার? তাহলে এসব ফালতু স্ক্রিপ্টের কাজ না করে ব্যাবসায় নামেন৷,Negative
নাটকটা অসাধারণ হইছে শেষ মুহূর্ত টা ভাল ছিল  আর গানগুলো খুবই ভালো লাগছে keep it up,Positive
কাজল আফরিন অমি ভাই ধন্যবাদ অনেক সুন্দর একটা গল্প   ,Positive
কিভাবে ভাবাবেগ প্রকাশ করবো বুঝতে পারছি না সত্যিই অসাধারণ ,Positive
বৃন্দাবন দাস এর কাজগুলো সবসময় ভাল লাগার হয় আর শেখার অনেক কিছু থাকে ,Positive
এটি কোন নাটক হয়লো  সব টাইম পাস,Negative
নামাজ পরার জন্য মানুষ কমেন্ট করেছে ভাল লাগল ,Positive
অসম্ভব একঘেয়ে,Negative
কোনো নাটক এরকম দেখি নাই  যেখানে নামাজ পড়ার কথা বলা হয়েছে বাট এই নাটকে নামাজের প্রতি তাগিদ এর কথা বলা দেখে আমি অনেক খুশি অনেক ভালি লাগলো নাটক টি,Positive
অসম্ভব সুন্দর  এত ভালো লেগেছে নাটকটা  অনেকদিন পর একটা মনের মতো নাটক দেখলাম  শিহাব শাহীন ভাইয়ার নাটক খুব ভালো লাগে  আর অপূর্ব ভাইয়ার বড় ফ্যান আমি ,Positive
এক কথায়  অস্থির   প্রথম ভালবাসাগুলো বুঝি এমনি হয় ,Positive
অশালীন ভাষা ছি,Negative
অসাধারণ নাটক ধন্যবাদ বৃদাবন দাস স্যারকে  অনেক ধন্যবাদ এইরকম নাটক উপহার দেওয়ার জন্য  ,Positive
নাতকটা আসলেই খুব ভাল ,Positive
বাংলাদেশের অন্যতম সেরা নাটক এই নাটকটি   ,Positive
সনিয়া মালটার রিয়েল নাম কি?,Negative
ভালোবাসা  সবাই যেনো তার মনের মানুষকে তার নিজের করে পায় অসাধারণ নাটক,Positive
অসাধারণ একটা উপস্থাপন,Positive
কি অসাধারন নাটক ,Positive
তুমি সেরা বস,Positive
ফালতো নাটক,Negative
অনেকেই খুব ভালো ভালো মন্তব্য করেছেন...হুম  সত্যিকার অর্থে নাটকের গল্পটা ভালো লেগেছে  তবে  যদি নায়িকার পোশাক নিয়ে পরিচালক আরো সচেতন হতেন তাহলে আরো ভালো হত..  যা হোক  পরবর্তীতে পরিচালক হয়তো এই ভুলগুলো মাথায় রেখে কাজ করবেন...,Positive
এতো সুন্দর একটা নাটক চোখে পানি ধরে রাখতে পারলাম না,Positive
আমি মিথিলা আপু মেহজাবিন আপুকে অনেক পছন্দ করি  অপূর্ব ভাইয়ার অভিনয়টা অসাধারণ ছিলো  সবার অভিনয় অনেক সুন্দর ছিলো,Positive
নাটক টা খুব খুব ভালো হয়ছে,Positive
খুব সুন্দর নাটক,Positive
অনেক ভালো লাখছে,Positive
অসাধারন  হয়ছে কিন্তু নাটক টা আমার কাছে অনেক ভালো লাকছে নিশো ভাইকে অনেক ভালোবাসি ,Positive
Tumi Amari নাটকটি উপভোগ করুন আশা করছি এই নাটকটি আপনাদের কাছে বেশ ভাল লাগবে  আমাদের জন্য দোয়া করবেন যেন সামনে আরোও ভাল কিছু আপনাদের জন্য নিয়ে আসতে পারি  ভালবাসা অবিরাম,Positive
আমার দেখা মিজানুর রহমান ভাইয়ের সেরা একটা গল্প এতো গুলো ভালো বাসা কলিজায় লাগছে ভাইআফরান নিশো ভাইমেহজাবিন আপুঅসাধারণ অভিনয়ভালো বাসা অবিরাম,Positive
কাবিলা অসাধারন অভিনয় করছে  ,Positive
